ConstituentLookupId,2022,2023,2024,Category,Suggested Strategy
19090,"$14,500","$12,500","$16,000",Other,Review manually
28688,"$2,500","$7,000","$18,390",Consistent Grower,"Offer long-term engagement, naming opportunities, exclusive recognition"
44037,"$18,260","$31,285",$0,Lapsed Donor,Reinitiate contact and assess interest
44477,"$50,000",$0,"$25,000",Returning Donor,"Understand what brought them back, initiate personalized re-engagement"
70004,"$1,003,904","$1,254,148",$0,Lapsed Donor,Reinitiate contact and assess interest
74958,"$365,000","$3,135","$60,000",Other,Review manually
74991,"$48,000",$0,"$26,000",Returning Donor,"Understand what brought them back, initiate personalized re-engagement"
79286,"$60,000",$0,"$30,000",Returning Donor,"Understand what brought them back, initiate personalized re-engagement"
79337,"$5,000","$30,000","$5,000",Declining Supporter,Send 'We miss you' notes and feedback surveys
95741,$0,"$25,000","$25,000",Returning Donor,"Understand what brought them back, initiate personalized re-engagement"
96846,"$75,000",$0,"$68,000",Returning Donor,"Understand what brought them back, initiate personalized re-engagement"
111458,"$71,000","$96,000","$26,000",Declining Supporter,Send 'We miss you' notes and feedback surveys
111733,$0,"$135,000",$0,Lapsed Donor,Reinitiate contact and assess interest
111996,$0,$0,"$50,000",Returning Donor,"Understand what brought them back, initiate personalized re-engagement"
119001,$0,$0,"$25,032",Returning Donor,"Understand what brought them back, initiate personalized re-engagement"
